party,,,,D,R,R,D,D,R,D,D,R,D,D,R,R,R,D,R,D,D,D,R,D,D,R,R,D,D,R,R,D,D,R,D,R,D,D,D,R,R,D,D,R,R,D,R,R,R,R,D,R,R,D,R,R,R,D,I,D,D,D,D,R,D,D,D,D,D,R,R,R,R,D,D,R,D,D,D,R,D,D,R,D,R,D,D,R,R,R,R,R,R,D,R,R,R,R,D,R,R,D,D,I
state,,,,HI,CO,VA,MT,IN,UT,DE,NM,MO,CA,LA,KS,KY,MT,WV,CO,WA,MO,DE,RI,GA,NY,MS,ME,ND,NJ,ID,ID,SD,MN,OH,CT,NM,ND,IL,NC,NV,WY,WI,CA,IL,TN,FL,TX,IA,NH,NE,IA,UT,NC,SC,AR,TX,OK,HI,VT,SD,MA,MA,WI,AZ,LA,VT,MI,CT,AR,MS,IN,AZ,KY,MD,GA,AK,WA,FL,NE,OK,RI,NV,KS,WV,PA,MD,NY,AL,AL,NH,OR,ME,PA,MI,AK,WY,TN,SC,NJ,OH,VA,MN,OR,MN
dw_nominate,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
member_id,,,,A000069,A000109,A000121,B000243,B001233,B000382,B000444,B000468,B000611,B000711,B000780,B000953,B001066,B001126,B001210,C000077,C000127,C001043,C000174,C001040,C001034,C001041,C000567,C001035,C000705,C001042,C000858,C000880,D000064,D000596,D000294,D000388,D000407,D000432,D000563,E000286,E000194,E000285,F000061,F000062,F000442,F000439,G000352,G000365,G000386,G000445,H001028,H000206,H000338,H000463,H000725,H001015,H001016,I000024,I000025,J000072,J000177,K000105,K000148,K000305,K000352,L000550,L000174,L000261,L000304,L000035,L000447,L000504,M000303,M000355,M000702,M001141,M001085,M001111,N000032,N000180,N000102,R000122,R000146,R000307,R000361,S000059,S000064,S000148,S001141,S000320,S000606,S001142,S000663,S000709,S000770,S000888,T000162,T000457,T000254,T000317,V000126,W000154,W000288,W000779,B001237
name,,,,Daniel K. Akaka,Wayne A. Allard,George Felix Allen,Max Baucus,Evan Bayh,Robert F. Bennett,Joseph R. Biden Jr.,Jeff Bingaman,Christopher S. Bond,Barbara Boxer,John B. Breaux,Sam Brownback,Jim Bunning,Conrad Burns,Robert C. Byrd,Ben Nighthorse Campbell,Maria Cantwell,Jean Carnahan,Thomas R. Carper,Lincoln D. Chafee,Max Cleland,Hillary Rodham Clinton,Thad Cochran,Susan Collins,Kent Conrad,Jon Stevens Corzine,Larry E. Craig,Michael D. Crapo,Thomas A. Daschle,Mark Dayton,Michael DeWine,Christopher J. Dodd,Pete V. Domenici,Byron L. Dorgan,Richard J. Durbin,John Reid Edwards,John Ensign,Michael B. Enzi,Russ Feingold,Dianne Feinstein,Peter G. Fitzgerald,William H. Frist,Bob Graham,Phil Gramm,Charles E. Grassley,Judd Gregg,Chuck T. Hagel,Tom Harkin,Orrin G. Hatch,Jesse Helms,Ernest F. Hollings,Tim Hutchinson,Kay Bailey Hutchison,James M. Inhofe,Daniel K. Inouye,James M. Jeffords,Tim Johnson,Edward M. Kennedy,John Kerry,Herb Kohl,Jon Kyl,Mary L. Landrieu,Patrick J. Leahy,Carl Levin,Joseph I. Lieberman,Blanche Lincoln,Trent Lott,Richard G. Lugar,John McCain,Mitch McConnell,Barbara A. Mikulski,Zell Bryan Miller,Frank H. Murkowski,Patty Murray,Bill Nelson,Ben Nelson,Don Nickles,Jack Reed,Harry Reid,Pat Roberts,John D. Rockefeller IV,Richard J. Santorum,Paul S. Sarbanes,Charles E. Schumer,Jeff Sessions,Richard C. Shelby,Bob Smith,Gordon Harold Smith,Olympia J. Snowe,Arlen Specter,Debbie Stabenow,Ted F. Stevens,Craig Thomas,Fred Thompson,Strom Thurmond,Robert G. Torricelli,George V. Voinovich,John W. Warner,Paul D. Wellstone,Ron Wyden,Dean Barkley
congress,chamber,session,roll_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Senate,2,1,Not Voting,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,2,Not Voting,Yes,No,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Not Voting,Yes,Yes,Yes,No,Yes,No,Not Voting,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,No,Yes,Not Voting,Not Voting,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Not Voting,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,
107,Senate,2,3,Not Voting,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Not Voting,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Not Voting,Not Voting,Not Voting,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not Voting,No,No,No,Not Voting,No,No,Not Voting,No,No,No,No,No,Yes,Yes,Not Voting,Yes,No,Not Voting,Not Voting,No,Not Voting,No,Yes,No,No,Not Voting,No,Yes,No,No,Not Voting,Not Voting,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not Voting,Yes,No,No,
107,Senate,2,4,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,
107,Senate,2,5,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,
107,Senate,2,6,Not Voting,No,No,Yes,Yes,No,Yes,Yes,No,Not Voting,Yes,No,No,Not Voting,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Not Voting,No,Yes,Yes,No,No,Yes,No,No,Not Voting,No,Yes,No,No,Yes,No,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Not Voting,No,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,7,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,8,Not Voting,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Not Voting,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Not Voting,No,Yes,Yes,Yes,Not Voting,No,No,Yes,No,No,Yes,No,No,Not Voting,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,
107,Senate,2,9,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Yes,Yes,
107,Senate,2,10,Not Voting,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Not Voting,Yes,No,Yes,Yes,Not Voting,No,No,Yes,Yes,No,No,No,Yes,Not Voting,Not Voting,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Not Voting,Yes,Not Voting,Yes,Not Voting,Not Voting,Yes,
107,Senate,2,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,13,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Not Voting,Yes,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Not Voting,No,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,14,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Not Voting,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Not Voting,No,Yes,Yes,Yes,No,Not Voting,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Not Voting,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Yes,No,Yes,Yes,No,No,
107,Senate,2,15,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Not Voting,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Not Voting,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Not Voting,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Not Voting,No,Yes,No,No,Yes,No,
107,Senate,2,16,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,
107,Senate,2,18,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not Voting,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Not Voting,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Not Voting,Yes,No,No,No,No,No,
