party,,,,R,D,R,R,D,R,D,D,R,D,D,R,D,D,R,D,R,R,D,R,R,R,D,R,R,R,D,R,D,R,D,D,R,R,D,D,D,R,D,R,D,R,R,R,R,R,D,R,R,D,R,R,R,D,R,D,R,D,D,D,D,R,D,D,D,D,D,R,R,R,R,R,D,D,D,R,D,R,D,D,D,R,D,R,R,D,R,R,R,R,R,R,R,R,R,R,D,R,D,D
state,,,,MI,HI,CO,MO,MT,UT,DE,NM,MO,CA,LA,KS,NV,AR,MT,WV,CO,RI,GA,IN,MS,ME,ND,GA,ID,NY,SD,OH,CT,NM,ND,IL,WY,NC,WI,CA,KY,TN,OH,WA,FL,TX,MN,IA,NH,NE,IA,UT,NC,SC,AR,TX,OK,HI,VT,SD,ID,MA,NE,MA,WI,AZ,LA,NJ,VT,MI,CT,MS,IN,FL,AZ,KY,MD,IL,NY,AK,WA,OK,RI,NV,VA,KS,WV,DE,PA,MD,AL,AL,NH,OR,ME,PA,AK,WY,TN,SC,NJ,VA,MN,OR
dw_nominate,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
member_id,,,,A000355,A000069,A000109,A000356,B000243,B000382,B000444,B000468,B000611,B000711,B000780,B000953,B000993,B001057,B001126,B001210,C000077,C000269,C001034,C000542,C000567,C001035,C000705,C000813,C000858,D000018,D000064,D000294,D000388,D000407,D000432,D000563,E000285,F000437,F000061,F000062,F000268,F000439,G000236,G000333,G000352,G000365,G000367,G000386,G000445,H001028,H000206,H000338,H000463,H000725,H001015,H001016,I000024,I000025,J000072,J000177,K000088,K000105,K000146,K000148,K000305,K000352,L000550,L000123,L000174,L000261,L000304,L000447,L000504,M000019,M000303,M000355,M000702,M001025,M001054,M001085,M001111,N000102,R000122,R000146,R000295,R000307,R000361,R000460,S000059,S000064,S001141,S000320,S000606,S001142,S000663,S000709,S000888,T000162,T000457,T000254,T000317,W000154,W000288,W000779
name,,,,Spencer Abraham,Daniel K. Akaka,Wayne A. Allard,John Ashcroft,Max Baucus,Robert F. Bennett,Joseph R. Biden Jr.,Jeff Bingaman,Christopher S. Bond,Barbara Boxer,John B. Breaux,Sam Brownback,Richard H. Bryan,Dale Bumpers,Conrad Burns,Robert C. Byrd,Ben Nighthorse Campbell,John H. Chafee,Max Cleland,Daniel Coats,Thad Cochran,Susan Collins,Kent Conrad,Paul Coverdell,Larry E. Craig,Alfonse M. D'Amato,Thomas A. Daschle,Michael DeWine,Christopher J. Dodd,Pete V. Domenici,Byron L. Dorgan,Richard J. Durbin,Michael B. Enzi,Lauch Faircloth,Russ Feingold,Dianne Feinstein,Wendell H. Ford,William H. Frist,John H. Glenn Jr.,Slade Gorton,Bob Graham,Phil Gramm,Rod Grams,Charles E. Grassley,Judd Gregg,Chuck T. Hagel,Tom Harkin,Orrin G. Hatch,Jesse Helms,Ernest F. Hollings,Tim Hutchinson,Kay Bailey Hutchison,James M. Inhofe,Daniel K. Inouye,James M. Jeffords,Tim Johnson,Dirk Kempthorne,Edward M. Kennedy,J. Robert Kerrey,John Kerry,Herb Kohl,Jon Kyl,Mary L. Landrieu,Frank R. Lautenberg,Patrick J. Leahy,Carl Levin,Joseph I. Lieberman,Trent Lott,Richard G. Lugar,Connie Mack,John McCain,Mitch McConnell,Barbara A. Mikulski,Carol Moseley-Braun,Daniel Patrick Moynihan,Frank H. Murkowski,Patty Murray,Don Nickles,Jack Reed,Harry Reid,Charles S. Robb,Pat Roberts,John D. Rockefeller IV,William V. Roth Jr.,Richard J. Santorum,Paul S. Sarbanes,Jeff Sessions,Richard C. Shelby,Bob Smith,Gordon Harold Smith,Olympia J. Snowe,Arlen Specter,Ted F. Stevens,Craig Thomas,Fred Thompson,Strom Thurmond,Robert G. Torricelli,John W. Warner,Paul D. Wellstone,Ron Wyden
congress,chamber,session,roll_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Senate,2,1,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Not Voting,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
105,Senate,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
105,Senate,2,3,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
105,Senate,2,4,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Not Voting,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Not Voting,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
105,Senate,2,5,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Not Voting,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
